smiles,D
CC(C)C1C(=O)N(C)CCCCN(C(=O)COc2ccccc2F)CCCCOc2ccc(Cl)cc2C(=O)N1C,-5.406
CC(C)c1cc(C(=O)N2CCC3(CCCCCOc4ccccc4C(=O)NC3)CC2)on1,-5.572
CC(C)c1cc(C(=O)N2CCCC3(CCCCCOc4ccccc4C(=O)NC3)C2)on1,-5.326
CC(C)c1cc(C(=O)N2CCCCN(C)C(=O)c3cc(Cl)ccc3OCC2)on1,-5.009
CC(C)c1cc(C(=O)N2CCCCN(C)C(=O)c3cc(Cl)ccc3OCCC2)on1,-5.233
CC(C)c1cc(C(=O)N2CCCCNC(=O)c3cc(Cl)ccc3OCC(C(C)C)NC(=O)C2)on1,-6.036
CC(C)c1ccc(NC(=O)CN2CCC3NC(=O)C(Cc4ccccc4)NC(=O)C4(C/C=C/CC3C2)CCOCC4)cc1,-6.114
CC(C)c1ccc(OCCNC(=O)C2CC(=O)NC(Cc3ccccc3)C(=O)N(C)CCOc3ccccc3C(=O)N2)cc1,-6.602
CC(C)c1ccccc1OCCNC(=O)C1CC(=O)NC(Cc2ccccc2)C(=O)N(C)CCOc2ccccc2C(=O)N1,-6.509
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)/C=C/c2ccccc2)CC(=O)N1,-5.65
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2c(F)cccc2F)CC(=O)N1,-5.684
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2c(F)cccc2F)CC(=O)N1,-5.455
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2cc(F)cc(F)c2)CC(=O)N1,-6.215
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2cc(F)cc(F)c2)CC(=O)N1,-5.928
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2cc[nH]n2)CC(=O)N1,-6.854
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)C2CCC(F)(F)CC2)CC(=O)N1,-6.796
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccc(F)c(Cl)c2)CC(=O)N1,-5.788
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccc(F)cc2F)CC(=O)N1,-5.971
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccc(F)cc2F)CC(=O)N1,-5.79
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccc3[nH]nnc3c2)CC(=O)N1,-8.0
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccc3c(c2)OCO3)CC(=O)N1,-6.699
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccc3c(c2)OCO3)CC(=O)N1,-6.347
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccc3ccccc3n2)CC(=O)N1,-5.74
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2cccc(Cl)c2)CC(=O)N1,-5.886
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2cccc(-n3cnnc3)c2)CC(=O)N1,-7.301
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2cccc3cccnc23)CC(=O)N1,-6.432
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccccc2Cl)CC(=O)N1,-5.975
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccccn2)CC(=O)N1,-7.301
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)C2CCN(C(C)C)CC2)CC(=O)N1,-6.538
CC(C)C1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccnn2C(C)C)CC(=O)N1,-6.481
