system	call	action	probe1_defect	probe1_relative_error	probe3_defect	probe3_stderr	probe3_score	probe3_relative_error	full_occupied_defect	independent_probe1_defect	independent_probe1_relative_error	exchange_energy_defect_meV	ace_rank	exx_call_time_s
Si16	7	reuse	0.0008732436541116099	0.0005721374690958045	0.000873419448908267	2.537402630505497e-7	0.000873926929434368	0.000370940223585066	0.0008737435555381143	0.0008730888016553589	0.0007493661940111576	21.544463204963797	32	13.21694472
Si16	9	rebuild	0.0008709545921326152	0.00027700379541199837	0.0008708600979633388	1.1699751781385089e-7	0.0008710940929989665	0.00016847879838716287	0.0008707134012157624	0.0008701573547267049	0.0006386102341839207	21.49759137332168	32	21.406158329
Si16	11	reuse	0.00019279605968176654	4.5137855468135713e-5	0.0001926964036724034	2.1324082872036717e-7	0.00019312288532984413	0.0005620131031732876	0.00019280476247526872	0.00019253908408266307	0.0013779659236359961	4.845898070118615	32	13.897992634
Si16	13	reuse	0.00017885996578353622	0.00046002266829729227	0.00017901661515565137	7.831353041483624e-8	0.00017917324221648106	0.0004153957584427684	0.00017894228329016658	0.00017882303874096946	0.0006663855350708227	4.40933569048787	32	13.632439442
Si16	15	reuse	4.204356108096181e-5	0.0003627395681630849	4.2017186585654175e-5	1.3322675174840691e-8	4.2043831936003855e-5	0.0002648015273656563	4.2028315747856814e-5	4.188447984140547e-5	0.0034223571392741404	1.0359419855805718	32	13.926741062
Si16	17	reuse	3.54252143534328e-5	0.0017227160362668517	3.5405422963863814e-5	1.651320486458746e-8	3.5438449373592985e-5	0.0011630727179405948	3.536429172097386e-5	3.5380553839619894e-5	0.00045984573293157607	0.83305813792196	32	13.153102937
Si16	19	rebuild	3.300367103043563e-5	0.003943680222539471	3.2889231389548475e-5	5.910694212538922e-8	3.3007445273799255e-5	0.00046252341032765174	3.287402638275472e-5	3.292601884231816e-5	0.0015815665217908746	0.7528830359874179	32	21.293581276
Si16	21	reuse	7.131235465674438e-6	0.00844606413775339	7.171202787498008e-6	2.3059602945982117e-8	7.217321993389972e-6	0.002888856631313828	7.191979384836164e-6	7.155849002112506e-6	0.0050237049900110735	0.1592809625808681	32	13.027320798
Si16	23	reuse	6.366469071111038e-6	0.00020199068929800364	6.359848418142017e-6	4.44437447775168e-9	6.36873716709752e-6	0.0008381447775224059	6.365183363335969e-6	6.370063520594183e-6	0.0007666954712292421	0.13212436564854396	32	12.972708049
Si16	25	reuse	1.5633590700756925e-6	0.006507178320917219	1.5617568825554244e-6	9.412438757448974e-10	1.5636393703069142e-6	0.0054756729738519834	1.553251783741603e-6	1.5446390227365967e-6	0.005544987036331791	0.03270579416861186	32	13.044539762
Si16	27	reuse	1.2857049025835555e-6	0.018348950230657596	1.3003679337515066e-6	8.040313993895454e-9	1.3164485617392974e-6	0.007153550796544995	1.3097372053803196e-6	1.315219593690039e-6	0.004185868956915961	0.024419583709203566	32	13.160574718
Si16	29	rebuild	1.1994585245166893e-6	0.020531072787826374	1.2201088837629807e-6	1.242658956111533e-8	1.2449620628852114e-6	0.0036681427205603047	1.2246008946201733e-6	1.2032091812851055e-6	0.017468314312887034	0.021223391271623884	32	21.298303957
