 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.88640000E+00  0.77163731E+05  0.77166346E+05  0.77171576E+05  0.22006398E+04  0.60267002E+04  0.75967240E+04
  0.89090000E+00  0.77479212E+05  0.77481843E+05  0.77487104E+05  0.22118118E+04  0.60572960E+04  0.76085468E+04
  0.89530000E+00  0.77785158E+05  0.77787805E+05  0.77793097E+05  0.22227355E+04  0.60872119E+04  0.76191535E+04
  0.89980000E+00  0.78104279E+05  0.78106941E+05  0.78112265E+05  0.22339075E+04  0.60837250E+04  0.76574493E+04
  0.90420000E+00  0.78413942E+05  0.78416620E+05  0.78421975E+05  0.22448313E+04  0.61134743E+04  0.76675586E+04
  0.90870000E+00  0.78736886E+05  0.78739579E+05  0.78744966E+05  0.22560033E+04  0.61092859E+04  0.76781486E+04
  0.91320000E+00  0.79061815E+05  0.79064523E+05  0.79069941E+05  0.21706551E+04  0.61395398E+04  0.77161718E+04
  0.91760000E+00  0.79380122E+05  0.79380122E+05  0.79388294E+05  0.21811138E+04  0.61339695E+04  0.77254099E+04
  0.92210000E+00  0.79709164E+05  0.79709164E+05  0.79714642E+05  0.21918102E+04  0.61640511E+04  0.77351170E+04
  0.92650000E+00  0.80031688E+05  0.80031688E+05  0.80039951E+05  0.22022689E+04  0.61934642E+04  0.77720268E+04
  0.93100000E+00  0.80365022E+05  0.80367792E+05  0.80373332E+05  0.22129653E+04  0.61876749E+04  0.77812204E+04
  0.93540000E+00  0.80691942E+05  0.80694727E+05  0.80700296E+05  0.22234240E+04  0.62169185E+04  0.78179953E+04
  0.93990000E+00  0.81029750E+05  0.81032550E+05  0.81038149E+05  0.22341204E+04  0.62104018E+04  0.78266717E+04
